column_name,type,nullable
address,TEXT,true
age,INTEGER,true
caste_base_certificate_no,TEXT,true
caste_derived_flag,INTEGER,true
caste_name,TEXT,true
cluster_id,TEXT,true
constituency_code,TEXT,true
created_at,TEXT,true
date_of_birth,TEXT,true
disability_percentage,TEXT,true
disability_status,TEXT,true
disability_type,TEXT,true
district_id,TEXT,true
domicile_status,INTEGER,true
door_no,TEXT,true
dwelling_type,TEXT,true
father_name,TEXT,true
father_person_id,TEXT,true
gender,TEXT,true
govt_employment_type,TEXT,true
household_id,TEXT,true
husband_name,TEXT,true
husband_person_id,TEXT,true
income_band,TEXT,true
is_deceased,TEXT,true
mandal_id,TEXT,true
marital_status,TEXT,true
mother_name,TEXT,true
mother_person_id,TEXT,true
person_id,TEXT,true
person_name,TEXT,true
phone,TEXT,true
ration_card_no,TEXT,true
religion,TEXT,true
rural_urban_flag,TEXT,true
secretariat_code,TEXT,true
social_category,TEXT,true
updated_at,TEXT,true
village_name,TEXT,true
